Sezona,Zmagovalec,Starost,Odigrane tekme,Točke na tekmo,Skoki na tekmo,Asistence na tekmo,Število odvzetih žog,Blokade
2022-23,Joel Embiid,28,66,33.1,10.2,4.2,1.0,1.7
2021-22,Nikola JokiÄ‡,26,74,27.1,13.8,7.9,1.5,0.9
2020-21,Nikola JokiÄ‡,25,72,26.4,10.8,8.3,1.3,0.7
2019-20,Giannis Antetokounmpo,25,63,29.5,13.6,5.6,1.0,1.0
2018-19,Giannis Antetokounmpo,24,72,27.7,12.5,5.9,1.3,1.5
2017-18,James Harden,28,72,30.4,5.4,8.8,1.8,0.7
2016-17,Russell Westbrook,28,81,31.6,10.7,10.4,1.6,0.4
2015-16,Stephen Curry,27,79,30.1,5.4,6.7,2.1,0.2
2014-15,Stephen Curry,26,80,23.8,4.3,7.7,2.0,0.2
2013-14,Kevin Durant,25,81,32.0,7.4,5.5,1.3,0.7
2012-13,LeBron James,28,76,26.8,8.0,7.3,1.7,0.9
2011-12,LeBron James,27,62,27.1,7.9,6.2,1.9,0.8
2010-11,Derrick Rose,22,81,25.0,4.1,7.7,1.0,0.6
2009-10,LeBron James,25,76,29.7,7.3,8.6,1.6,1.0
2008-09,LeBron James,24,81,28.4,7.6,7.2,1.7,1.1
2007-08,Kobe Bryant,29,82,28.3,6.3,5.4,1.8,0.5
2006-07,Dirk Nowitzki,28,78,24.6,8.9,3.4,0.7,0.8
2005-06,Steve Nash,31,79,18.8,4.2,10.5,0.8,0.2
2004-05,Steve Nash,30,75,15.5,3.3,11.5,1.0,0.1
2003-04,Kevin Garnett,27,82,24.2,13.9,5.0,1.5,2.2
2002-03,Tim Duncan,26,81,23.3,12.9,3.9,0.7,2.9
2001-02,Tim Duncan,25,82,25.5,12.7,3.7,0.7,2.5
2000-01,Allen Iverson,25,71,31.1,3.8,4.6,2.5,0.3
1999-00,Shaquille O'Neal,27,79,29.7,13.6,3.8,0.5,3.0
1998-99,Karl Malone,35,49,23.8,9.4,4.1,1.3,0.6
1997-98,Michael Jordan,34,82,28.7,5.8,3.5,1.7,0.5
1996-97,Karl Malone,33,82,27.4,9.9,4.5,1.4,0.6
1995-96,Michael Jordan,32,82,30.4,6.6,4.3,2.2,0.5
1994-95,David Robinson,29,81,27.6,10.8,2.9,1.7,3.2
1993-94,Hakeem Olajuwon,31,80,27.3,11.9,3.6,1.6,3.7
1992-93,Charles Barkley,29,76,25.6,12.2,5.1,1.6,1.0
1991-92,Michael Jordan,28,80,30.1,6.4,6.1,2.3,0.9
1990-91,Michael Jordan,27,82,31.5,6.0,5.5,2.7,1.0
1989-90,Magic Johnson,30,79,22.3,6.6,11.5,1.7,0.4
1988-89,Magic Johnson,29,77,22.5,7.9,12.8,1.8,0.3
1987-88,Michael Jordan,24,82,35.0,5.5,5.9,3.2,1.6
1986-87,Magic Johnson,27,80,23.9,6.3,12.2,1.7,0.5
1985-86,Larry Bird,29,82,25.8,9.8,6.8,2.0,0.6
1984-85,Larry Bird,28,80,28.7,10.5,6.6,1.6,1.2
1983-84,Larry Bird,27,79,24.2,10.1,6.6,1.8,0.9
1982-83,Moses Malone,27,78,24.5,15.3,1.3,1.1,2.0
1981-82,Moses Malone,26,81,31.1,14.7,1.8,0.9,1.5
1980-81,Julius Erving,30,82,24.6,8.0,4.4,2.1,1.8
1979-80,Kareem Abdul-Jabbar,32,82,24.8,10.8,4.5,1.0,3.4
1978-79,Moses Malone,23,82,24.8,17.6,1.8,1.0,1.5
1977-78,Bill Walton,25,58,18.9,13.2,5.0,1.0,2.5
1976-77,Kareem Abdul-Jabbar,29,82,26.2,13.3,3.9,1.2,3.2
1975-76,Kareem Abdul-Jabbar,28,82,27.7,16.9,5.0,1.5,4.1
1974-75,Bob McAdoo,23,82,34.5,14.1,2.2,1.1,2.1
1973-74,Kareem Abdul-Jabbar,26,81,27.0,14.5,4.8,1.4,3.5
1972-73,Dave Cowens,24,82,20.5,16.2,4.1,,
1971-72,Kareem Abdul-Jabbar,24,81,34.8,16.6,4.6,,
1970-71,Kareem Abdul-Jabbar,23,82,31.7,16.0,3.3,,
1969-70,Willis Reed,27,81,21.7,13.9,2.0,,
1968-69,Wes Unseld,22,82,13.8,18.2,2.6,,
1967-68,Wilt Chamberlain,31,82,24.3,23.8,8.6,,
1966-67,Wilt Chamberlain,30,81,24.1,24.2,7.8,,
1965-66,Wilt Chamberlain,29,79,33.5,24.6,5.2,,
1964-65,Bill Russell,30,78,14.1,24.1,5.3,,
1963-64,Oscar Robertson,25,79,31.4,9.9,11.0,,
1962-63,Bill Russell,28,78,16.8,23.6,4.5,,
1961-62,Bill Russell,27,76,18.9,23.6,4.5,,
1960-61,Bill Russell,26,78,16.9,23.9,3.4,,
1959-60,Wilt Chamberlain,23,72,37.6,27.0,2.3,,
1958-59,Bob Pettit,26,72,29.2,16.4,3.1,,
1957-58,Bill Russell,23,69,16.6,22.7,2.9,,
1956-57,Bob Cousy,28,64,20.6,4.8,7.5,,
1955-56,Bob Pettit,23,72,25.7,16.2,2.6,,
